Name;Type;RA;Dec;MajAx;MinAx;PosAng;V-Mag;B-Mag;Common names
Abell 1;PN;00:12:55.00;+69:10:24.0;0.78;0.78;90;;;
Abell 2;PN;00:45:34.68;+57:57:34.9;0.52;0.52;90;;;
Abell 3;PN;02:12:06.66;+64:09:02.3;1.00;1.00;90;;;
Abell 4;PN;02:45:23.65;+42:33:04.6;0.33;0.33;90;;;
Abell 5;PN;02:52:15.07;+50:35:54.1;2.12;2.12;90;;;
Abell 6;PN;02:58:41.86;+64:30:06.3;3.10;3.10;90;;;
Abell 7;PN;05:03:07.53;-15:36:22.7;12.73;12.73;90;;;
Abell 8;PN;05:06:38.42;+39:08:08.7;1.00;1.00;90;;;
Abell 9;PN;05:28:56.70;+36:03:05.0;0.62;0.62;90;;;
Abell 10;PN;05:31:45.50;+06:56:01.6;0.33;0.33;90;;;
Abell 11;PN;05:37:21.57;+08:15:29.3;0.32;0.24;80;;;
Abell 12;PN;06:02:20.05;+09:39:14.1;0.62;0.62;90;;;
Abell 13;PN;06:04:47.90;+03:56:35.8;2.54;2.54;90;;;
Abell 14;PN;06:11:08.66;+11:46:43.8;0.55;0.55;90;;;
Abell 15;PN;06:27:02.04;-25:22:49.7;0.57;0.57;90;;;
Abell 16;PN;06:43:55.42;+61:47:24.7;2.35;2.35;90;;;
Abell 17;PN;06:48:38.02;-09:32:38.7;0.71;0.71;90;;;
Abell 18;PN;06:56:14.66;-02:53:07.8;1.22;1.22;90;;;
Abell 19;PN;06:59:56.43;+14:36:34.0;1.12;1.12;90;;;
Abell 20;PN;07:22:57.67;+01:45:33.9;1.12;1.12;90;;;
Abell 21;PN;07:29:02.71;+13:14:48.6;10.25;10.25;90;;;
Abell 22;PN;07:36:07.92;+02:42:27.5;1.40;1.40;;;;
Abell 23;PN;07:43:17.98;-34:45:15.6;0.90;0.90;90;;;
Abell 24;PN;07:51:37.55;+03:00:21.2;5.91;5.91;90;;;
Abell 25;PN;08:06:46.50;-02:52:35.2;2.77;2.77;90;;;
Abell 26;PN;08:09:01.64;-32:40:24.9;0.67;0.67;90;;;
Abell 27;PN;08:31:52.63;-32:06:08.7;0.72;0.72;90;;;
Abell 28;PN;08:41:35.55;+58:13:48.4;4.47;4.47;90;;;
Abell 29;PN;08:40:18.92;-20:54:36.6;;;;;;
Abell 30;PN;08:46:53.46;+17:52:46.4;0.29;0.13;75;;;
Abell 31;PN;08:54:13.16;+08:53:52.9;16.20;16.20;90;;;
Abell 32;PN;09:16:24.80;+03:53:26.0;2.23;2.23;90;;;
Abell 33;PN;09:39:09.14;-02:48:30.5;4.47;4.47;90;;;
Abell 34;PN;09:45:35.34;-13:10:15.8;4.83;4.83;90;;;
Abell 35;PN;12:53:32.79;-22:52:22.6;12.87;12.87;90;;;
Abell 36;PN;13:40:41.35;-19:52:55.3;6.12;6.12;90;;;
Abell 37;PN;14:04:25.92;-17:13:40.6;0.78;0.78;90;;;
